feature,pearson_corr,spearman_corr
empty_count,0.33009164520168577,0.38395170338909024
non_zero_count,-0.3300916452016858,-0.38395170338909024
sum_tiles,-0.3191091531450187,-0.32088097068922433
step,-0.31898377374717646,-0.3207787024935305
monotonicity,-0.31603062434113793,-0.31985033796208756
score,-0.3094548202747886,-0.31337757253010606
max_tile_log2,-0.23643405779078894,-0.2728284945742718
max_tile_in_corner,-0.10071433968944953,-0.11218608462185718
mergeable_count,0.010282247654316536,0.016208035669343715
