agent,step,total_games,alive_games,survival_probability
expectimax,187,3000,3000,1.0
expectimax,188,3000,3000,1.0
expectimax,189,3000,3000,1.0
expectimax,190,3000,3000,1.0
expectimax,191,3000,3000,1.0
expectimax,192,3000,3000,1.0
expectimax,193,3000,3000,1.0
expectimax,194,3000,3000,1.0
expectimax,195,3000,2999,0.9996666666666667
expectimax,196,3000,2999,0.9996666666666667
expectimax,197,3000,2999,0.9996666666666667
expectimax,198,3000,2999,0.9996666666666667
expectimax,199,3000,2999,0.9996666666666667
expectimax,200,3000,2999,0.9996666666666667
expectimax,201,3000,2999,0.9996666666666667
expectimax,202,3000,2999,0.9996666666666667
expectimax,203,3000,2999,0.9996666666666667
expectimax,204,3000,2999,0.9996666666666667
expectimax,205,3000,2999,0.9996666666666667
expectimax,206,3000,2999,0.9996666666666667
expectimax,207,3000,2999,0.9996666666666667
expectimax,208,3000,2999,0.9996666666666667
expectimax,209,3000,2999,0.9996666666666667
expectimax,210,3000,2999,0.9996666666666667
expectimax,211,3000,2999,0.9996666666666667
expectimax,212,3000,2999,0.9996666666666667
expectimax,213,3000,2999,0.9996666666666667
expectimax,214,3000,2999,0.9996666666666667
expectimax,215,3000,2999,0.9996666666666667
expectimax,216,3000,2999,0.9996666666666667
expectimax,217,3000,2999,0.9996666666666667
expectimax,218,3000,2999,0.9996666666666667
expectimax,219,3000,2999,0.9996666666666667
expectimax,220,3000,2999,0.9996666666666667
expectimax,221,3000,2999,0.9996666666666667
expectimax,222,3000,2999,0.9996666666666667
expectimax,223,3000,2999,0.9996666666666667
expectimax,224,3000,2999,0.9996666666666667
expectimax,225,3000,2999,0.9996666666666667
expectimax,226,3000,2998,0.9993333333333333
expectimax,227,3000,2998,0.9993333333333333
expectimax,228,3000,2998,0.9993333333333333
expectimax,229,3000,2996,0.9986666666666667
expectimax,230,3000,2996,0.9986666666666667
expectimax,231,3000,2996,0.9986666666666667
expectimax,232,3000,2996,0.9986666666666667
expectimax,233,3000,2995,0.9983333333333333
expectimax,234,3000,2995,0.9983333333333333
expectimax,235,3000,2995,0.9983333333333333
expectimax,236,3000,2994,0.998
expectimax,237,3000,2994,0.998
expectimax,238,3000,2993,0.9976666666666667
expectimax,239,3000,2992,0.9973333333333333
expectimax,240,3000,2992,0.9973333333333333
expectimax,241,3000,2991,0.997
