agent,n_games,mean_score,median_score,std_score,min_score,max_score,mean_max_tile,median_max_tile,mean_steps,median_steps,mean_score_ci_low,mean_score_ci_high
expectimax,3000,15400.513333333334,15398.0,6279.560638008392,2408,35648,1108.224,1024.0,826.234,841.0,15178.9552,15618.9622
heuristic,3000,4512.388,4232.0,1930.2242703981333,676,14060,351.76533333333333,256.0,310.2153333333333,298.0,4444.528399999999,4580.540666666667
random,3000,1006.0653333333333,960.0,508.14854328785674,88,3224,101.67466666666667,128.0,103.89933333333333,100.0,988.3123333333334,1024.5228
